meta,id,name,description,mitra_id,start_period,months_duration,activity_type,location,fields_of_study,quota,min_semester,skills,web_portal,show_salary,mobilization,accommodation,is_applied,wishlist,is_external,external_platform_name,external_platform_logo_url,salary
,9955bd31-6f79-4732-8091-18ddf311e894,Graphic Design Internship,Membantu dalam membuat kebutuhan desain dan social media Alfamidi Karir,0948c9f3-2059-465a-b344-f12f1a66077d,2024-02-01T00:00:00+07:00,6,WFO,Kota Tangerang,"['Seni dan Desain', 'Jurnalisme, Komunikasi, dan Media']",1,5,"['Desain Grafis', 'Kreatif', 'Komunikasi', 'Keterampilan Komunikasi']",,False,False,False,False,False,False,,,
,211f8099-332c-45eb-ae02-0623415c9951,Management Researcher,"Mengidentifikasi topik penelitian yang relevan dengan bidang manajemen.Mengumpulkan data melalui wawancara, survei, observasi, atau sumber data lainnyaMengelola waktu dan sumber daya dengan efisien untuk menyelesaikan proyek penelitian sesuai jadwal yang ditentukan.Berkolaborasi dengan tim penelitian atau rekan kerja lainnya untuk memperoleh perspektif yang beragam.Membuat Materi Pembelajaran terkaitt disiplin ilmu bisnis dan ekonomi",e11d086f-a5f6-4a48-b9de-0cab5d5f5960,2024-02-01T00:00:00+07:00,5,WFO,Kota Jakarta Selatan,"['Manajemen', 'Teknik Informatika dan Ilmu Komputer', 'Jurnalisme, Komunikasi, dan Media', 'Akuntansi dan Perpajakan', 'Ekonomi']",3,5,"['Administrasi', 'Kreatif', 'Operasional', 'Komunikasi']",,False,False,False,False,False,False,,,
,a3c77bde-72d8-4429-9131-8213e5b7470d,Akuntasi dan Pajak,Kualifikasi:Minimal semester 5 di jurusan perpajakanDiutamakan tinggal di area surabayaBenefit :Uang sakuSertifikat MagangUpgrade IlmuKonversi Nilai,acf3cefc-ec20-43df-a7f6-d0da39956909,2024-02-01T00:00:00+07:00,5,WFO,Kota Surabaya,[],1,0,"['Analisis Data', 'Administrasi', 'Komunikasi']",,True,False,False,False,False,False,,,200000.0
,efcfb42e-68bb-4340-a28e-3b475fd1879d,Inland Service Dooring Intern,Melaksanakan monitoring untuk proses dooringMelakukan tracking/ pemantauan posisi cargoMengurus administrasi dan kelengkapan dokumen cargo seperti dokumen karantinaMembuat laporan secara berkala,c06a7a28-ca35-477f-ab27-0e775bceb5f5,2024-02-01T00:00:00+07:00,3,WFO,Kota Surabaya,[],1,5,"['Administrasi', 'Operasional', 'Komunikasi']",,False,False,False,False,False,False,,,
,76459c7b-c43e-4a91-a881-b6022c50da6b,Design Graphic & Video Editor Internship,Membuat design promosi untuk kebutuhan sosial media dalam bentuk posterMembuat konten promosi dalam bentuk video vertikal dan horizontalMembuat design cover video YouTube (thumbnail video YouTube)Membuat header Channel YouTube Kreator ,3938c03d-741f-4dde-a4bc-7eec20436e6f,2024-03-01T00:00:00+07:00,3,WFO,Kota Jakarta Barat,[],1,6,"['Komunikasi', 'Kreatif', 'design', 'video editor', 'design graphic', 'canva', 'adobe photoshop', 'adobe premiere']",,False,False,False,False,False,False,,,
,93466e0c-af93-49e7-afa4-e5635b6e0638,Outport Intern,Melaksanakan monitoring untuk proses dooringMelakukan tracking/ pemantauan posisi cargoMengurus administrasi dan kelengkapan dokumen cargo seperti dokumen karantina,c06a7a28-ca35-477f-ab27-0e775bceb5f5,2024-02-01T00:00:00+07:00,3,WFO,Makassar,['Teknik Industri'],1,5,"['Administrasi', 'Operasional', 'Komunikasi']",,False,False,False,False,False,False,,,
,2132c3ad-e5cc-49c3-bc2e-5e42402d7662,Asisten Fotografi,"Pengambilan Foto:Mahasiswa magang akan terlibat dalam pengambilan foto untuk berbagai keperluan, termasuk dokumentasi acara, produk, portofolio, atau proyek khusus. Mereka akan bekerja dengan tim atau klien untuk memahami kebutuhan fotografi dan menghasilkan gambar yang sesuai.Pemrosesan dan Pengeditan Foto:Mahasiswa magang akan belajar untuk memproses dan mengedit foto menggunakan perangkat lunak pengeditan foto. Mereka akan mengembangkan keterampilan dalam retouching, peningkatan warna, penyesuaian kontras, dan manipulasi foto lainnya untuk mencapai hasil yang diinginkan.Penyusunan Proyek Fotografi:Mahasiswa magang akan bekerja pada proyek-proyek fotografi yang ditugaskan, seperti pemotretan editorial, portofolio produk, atau pemotretan acara khusus. Mereka akan merencanakan, mempersiapkan, dan melaksanakan proyek tersebut dengan bimbingan dan arahan dari supervisor atau mentor.Kolaborasi dengan Tim Kreatif:Mahasiswa magang akan berkolaborasi dengan tim kreatif lainnya, seperti desainer grafis, penulis konten, atau manajer pemasaran, untuk menghasilkan konten visual yang koheren dan efektif. Mereka akan berpartisipasi dalam sesi brainstorming, pertemuan strategi, dan koordinasi proyek.Pameran atau Showcase:Mahasiswa magang dapat memiliki kesempatan untuk memamerkan atau menampilkan karya fotografi mereka dalam pameran atau showcase yang diselenggarakan oleh perusahaan atau institusi terkait. Ini akan memberi mereka pengalaman dalam memamerkan karya mereka kepada publik dan mendapatkan umpan balik.Evaluasi dan Umpan Balik:Mahasiswa magang akan menerima umpan balik secara teratur dari supervisor atau mentor tentang kualitas karya fotografi mereka, kemajuan mereka, dan area-area yang perlu ditingkatkan. Mereka akan menggunakan umpan balik ini untuk terus memperbaiki keterampilan mereka dalam fotografi.",4bb9c2e3-c5a7-4e99-bc52-0f30bf2fd1e5,2024-02-01T00:00:00+07:00,5,WFO,Banda Aceh,[],2,3,"['Administrasi', 'Operasional', 'Komunikasi', 'Kreatif']",,False,False,False,False,False,False,,,
,c691ed13-ecc3-49e2-9eac-ee5a2c3bc7fc,Content Creator and Online Marketer Intern,"At Bukit Vista, we’re in search of a dynamic Content Creator & Online Marketer with a passion for innovation, who has experience and is familiar with AI tools. In this role, you will play a crucial role in promoting our vacation rental properties on various online platforms, leveraging AI technologies to enhance content creation, digital marketing, and OTA optimization. Your expertise will be essential in attracting potential guests, increasing bookings, and maximizing our online presence, all while exploring new frontiers in AI-powered marketing.",a6223da4-da2c-4252-8062-5c3f87332e3c,2024-03-01T00:00:00+07:00,3,WFO,Kab. Badung,"['Manajemen', 'Jurnalisme, Komunikasi, dan Media']",3,0,"['Kreatif', 'Komunikasi', 'Fotografi', 'Online Marketing']",https://www.bukitvista.com/jobs/remote-content-creator-and-online-marketer,False,True,True,False,False,False,,,
,2c53e1e9-d061-4eef-8a6a-8888ce7aaa85,Business Development Intern,"As an Business Development Specialist, you will contribute to the overall success of our property management startup by identifying and pursuing new business opportunities, utilizing advanced AI technologies to enhance your capabilities.Your primary focus will be on generating leads, building relationships, and closing deals with potential clients, with the added advantage of leveraging AI for data-driven insights and predictions.You will work closely with the Business Development Manager to execute strategies that align with our company’s goals and vision.",a6223da4-da2c-4252-8062-5c3f87332e3c,2024-03-01T00:00:00+07:00,3,WFO,Kab. Badung,"['Manajemen', 'Teknik Industri', 'Jurnalisme, Komunikasi, dan Media']",3,0,"['Komunikasi', 'Pemahaman Pasar', 'Manajemen Proyek', 'Relationship Management', 'Offline Canvassing', 'Negosiasi']",https://www.bukitvista.com/jobs/business-development,False,True,True,False,False,False,,,
,91d54147-75ea-49f2-8115-4ee42a78edb7,Community Manager Intern,"As a Community Manager, you will play a pivotal role in evolving and developing an ever-growing collection of properties and their owners, with a deep understanding of AI integration in community management.In collaboration with the Customer Relations team, you are expected to spend your days engaging property owners as our partners to build and maintain a delightful relationship with them, while harnessing AI technologies to enhance your efforts.",a6223da4-da2c-4252-8062-5c3f87332e3c,2024-03-01T00:00:00+07:00,3,WFH,Kab. Badung,"['Jurnalisme, Komunikasi, dan Media', 'Perhotelan dan Pariwisata', 'Teknik Industri']",3,0,"['Manajemen Konflik', 'Manajemen Proyek', 'Public Speaking', 'Kreativitas']",https://www.bukitvista.com/jobs/community-manager,False,True,False,False,False,False,,,
